time;game;playerid;win/lose;
13:28:48 ;BlackJack;76561198014770158;150;
13:28:52 ;BlackJack;76561198014770158;100;
13:28:56 ;BlackJack;76561198014770158;-100;
13:29:0 ;BlackJack;76561198014770158;-100;
13:29:2 ;BlackJack;76561198014770158;300;
13:29:8 ;BlackJack;76561198014770158;150;
13:29:13 ;BlackJack;76561198014770158;-100;
13:29:18 ;BlackJack;76561198014770158;-100;
13:29:21 ;BlackJack;76561198014770158;-100;
13:29:23 ;BlackJack;76561198014770158;-100;
13:29:26 ;BlackJack;76561198014770158;150;
13:29:29 ;BlackJack;76561198014770158;100;
13:29:32 ;BlackJack;76561198014770158;-100;
13:29:39 ;BlackJack;76561198014770158;-100;
13:29:44 ;BlackJack;76561198014770158;150;
13:29:50 ;BlackJack;76561198014770158;75;
13:30:0 ;BlackJack;76561198014770158;75;
13:30:3 ;BlackJack;76561198014770158;-50;
13:30:6 ;BlackJack;76561198014770158;-50;
13:30:8 ;BlackJack;76561198014770158;-50;
13:30:9 ;BlackJack;76561198014770158;150;
13:30:15 ;BlackJack;76561198014770158;-50;
13:30:16 ;BlackJack;76561198014770158;150;
13:30:20 ;BlackJack;76561198014770158;75;
13:30:25 ;BlackJack;76561198014770158;75;
13:30:33 ;BlackJack;76561198014770158;-50;
13:30:39 ;BlackJack;76561198014770158;150;
13:30:48 ;BlackJack;76561198014770158;-50;
13:30:52 ;BlackJack;76561198014770158;150;
13:30:57 ;BlackJack;76561198014770158;75;
13:31:15 ;BlackJack;76561198014770158;-50;
13:31:19 ;BlackJack;76561198014770158;50;
13:31:21 ;BlackJack;76561198014770158;75;
13:31:27 ;BlackJack;76561198014770158;-50;
13:31:31 ;BlackJack;76561198014770158;75;
13:31:34 ;BlackJack;76561198014770158;-50;
13:31:40 ;BlackJack;76561198014770158;75;
13:31:47 ;BlackJack;76561198014770158;-50;
13:31:58 ;BlackJack;76561198014770158;-50;
13:32:2 ;BlackJack;76561198014770158;-50;
13:32:5 ;BlackJack;76561198014770158;-50;
13:32:8 ;BlackJack;76561198014770158;-50;
13:32:13 ;BlackJack;76561198014770158;75;
13:32:17 ;BlackJack;76561198014770158;-50;
21:42:49 ;BlackJack;76561198199362723;-1000;
21:42:56 ;BlackJack;76561198199362723;-1000;
21:42:59 ;BlackJack;76561198199362723;-1000;
21:43:4 ;BlackJack;76561198199362723;1500;
21:43:8 ;BlackJack;76561198199362723;1500;
21:43:12 ;BlackJack;76561198199362723;-1000;
21:43:20 ;BlackJack;76561198199362723;3000;
21:43:26 ;BlackJack;76561198199362723;-1000;
21:43:29 ;BlackJack;76561198199362723;-1000;
21:43:34 ;BlackJack;76561198199362723;1500;
21:43:40 ;BlackJack;76561198199362723;-1000;
21:43:45 ;BlackJack;76561198199362723;1500;
21:43:50 ;BlackJack;76561198199362723;1500;
21:43:53 ;BlackJack;76561198199362723;1500;
21:43:57 ;BlackJack;76561198199362723;-1000;
21:43:59 ;BlackJack;76561198199362723;1000;
21:44:4 ;BlackJack;76561198199362723;3000;
21:44:8 ;BlackJack;76561198199362723;-1000;
21:44:10 ;BlackJack;76561198199362723;1000;
21:44:15 ;BlackJack;76561198199362723;1500;
21:44:18 ;BlackJack;76561198199362723;1500;
21:44:22 ;BlackJack;76561198199362723;-1000;
21:44:28 ;BlackJack;76561198199362723;3000;
21:44:34 ;BlackJack;76561198199362723;-1000;
21:44:38 ;BlackJack;76561198199362723;1500;
21:44:43 ;BlackJack;76561198199362723;1000;
21:44:49 ;BlackJack;76561198199362723;-1000;
21:44:54 ;BlackJack;76561198199362723;-1000;
21:45:0 ;BlackJack;76561198199362723;-1000;
21:45:10 ;BlackJack;76561198199362723;9117;
21:45:29 ;BlackJack;76561198199362723;13675;
21:46:1 ;BlackJack;76561198199362723;-675;
