time;game;playerid;win/lose;
17:29:26 ;BlackJack;76561198199362723;375;
17:29:37 ;BlackJack;76561198199362723;-250;
17:29:43 ;BlackJack;76561198199362723;-250;
17:29:48 ;BlackJack;76561198199362723;-250;
17:29:52 ;BlackJack;76561198199362723;375;
17:29:59 ;BlackJack;76561198199362723;375;
17:30:5 ;BlackJack;76561198199362723;-250;
17:30:10 ;BlackJack;76561198199362723;375;
17:30:14 ;BlackJack;76561198199362723;-250;
17:30:19 ;BlackJack;76561198199362723;-250;
17:30:22 ;BlackJack;76561198199362723;-250;
17:30:25 ;BlackJack;76561198199362723;375;
17:30:31 ;BlackJack;76561198199362723;-250;
17:30:34 ;BlackJack;76561198199362723;375;
17:30:38 ;BlackJack;76561198199362723;-250;
17:30:49 ;BlackJack;76561198199362723;375;
17:31:31 ;DiceGame;76561198199362723;-510;
17:32:9 ;RatRace;76561198199362723;-5010;
17:32:41 ;RatRace;76561198199362723;8922;
2:21:35 ;DiceGame;76561198014770158;-10;
2:21:42 ;DiceGame;76561198014770158;-10;
2:21:46 ;DiceGame;76561198014770158;-10;
2:21:51 ;DiceGame;76561198014770158;-10;
2:21:57 ;DiceGame;76561198014770158;-10;
2:22:2 ;DiceGame;76561198014770158;-10;
2:22:6 ;DiceGame;76561198014770158;-10;
2:22:13 ;DiceGame;76561198014770158;-10;
2:22:18 ;DiceGame;76561198014770158;-10;
2:22:22 ;DiceGame;76561198014770158;-10;
2:22:56 ;RatRace;76561198014770158;-10;
2:23:21 ;RatRace;76561198014770158;-10;
2:23:46 ;RatRace;76561198014770158;-10;
2:24:9 ;RatRace;76561198014770158;-10;
2:24:29 ;RatRace;76561198014770158;-10;
2:24:56 ;RatRace;76561198014770158;-10;
2:25:24 ;RatRace;76561198014770158;-10;
2:25:54 ;RatRace;76561198014770158;-10;
2:26:15 ;RatRace;76561198014770158;29;
2:26:41 ;RatRace;76561198014770158;-10;
2:27:39 ;BlackJack;76561198014770158;-1000;
2:27:44 ;BlackJack;76561198014770158;1500;
2:27:49 ;BlackJack;76561198014770158;-1000;
2:27:51 ;BlackJack;76561198014770158;3000;
2:27:53 ;BlackJack;76561198014770158;3000;
2:28:23 ;BlackJack;76561198014770158;1500;
2:28:44 ;BlackJack;76561198014770158;1500;
2:28:52 ;BlackJack;76561198014770158;-1000;
2:29:8 ;BlackJack;76561198014770158;3000;
2:36:22 ;BlackJack;76561198016807576;-12420;
2:54:4 ;BlackJack;76561198022055339;-5000;
2:54:16 ;BlackJack;76561198022055339;-5000;
2:54:21 ;BlackJack;76561198022055339;7500;
2:54:38 ;BlackJack;76561198022055339;5000;
2:54:48 ;BlackJack;76561198022055339;-5000;
2:54:54 ;BlackJack;76561198022055339;-5000;
2:54:57 ;BlackJack;76561198022055339;5000;
2:55:16 ;BlackJack;76561198022055339;37500;
2:55:37 ;BlackJack;76561198022055339;37500;
