time;game;playerid;win/lose;
2:21:59 ;BlackJack;76561198014770158;300;
2:22:12 ;BlackJack;76561198014770158;-300;
2:22:19 ;BlackJack;76561198014770158;450;
2:22:29 ;BlackJack;76561198014770158;-300;
2:22:37 ;BlackJack;76561198014770158;450;
2:22:49 ;BlackJack;76561198014770158;-300;
2:22:55 ;BlackJack;76561198014770158;-300;
2:22:58 ;BlackJack;76561198014770158;-300;
2:23:2 ;BlackJack;76561198014770158;450;
2:23:6 ;BlackJack;76561198014770158;450;
2:23:11 ;BlackJack;76561198014770158;450;
2:23:16 ;BlackJack;76561198014770158;450;
2:23:21 ;BlackJack;76561198014770158;-300;
2:23:25 ;BlackJack;76561198014770158;450;
2:23:32 ;BlackJack;76561198014770158;-300;
2:23:34 ;BlackJack;76561198014770158;450;
2:23:37 ;BlackJack;76561198014770158;450;
2:23:41 ;BlackJack;76561198014770158;450;
2:23:43 ;BlackJack;76561198014770158;300;
2:23:46 ;BlackJack;76561198014770158;300;
2:23:49 ;BlackJack;76561198014770158;-300;
2:23:54 ;BlackJack;76561198014770158;450;
2:24:1 ;BlackJack;76561198014770158;450;
2:24:5 ;BlackJack;76561198014770158;-300;
2:24:7 ;BlackJack;76561198014770158;450;
2:24:11 ;BlackJack;76561198014770158;900;
2:24:15 ;BlackJack;76561198014770158;900;
2:24:26 ;BlackJack;76561198014770158;450;
2:24:32 ;BlackJack;76561198014770158;450;
2:24:36 ;BlackJack;76561198014770158;-300;
2:24:40 ;BlackJack;76561198014770158;-300;
2:24:44 ;BlackJack;76561198014770158;900;
2:24:48 ;BlackJack;76561198014770158;-300;
2:24:52 ;BlackJack;76561198014770158;-300;
2:24:59 ;BlackJack;76561198014770158;-300;
2:25:3 ;BlackJack;76561198014770158;-300;
3:30:40 ;BlackJack;76561198014770158;-300;
3:30:44 ;BlackJack;76561198014770158;300;
3:30:56 ;BlackJack;76561198014770158;-300;
3:31:0 ;BlackJack;76561198014770158;900;
3:31:7 ;BlackJack;76561198014770158;450;
3:31:12 ;BlackJack;76561198014770158;450;
3:31:18 ;BlackJack;76561198014770158;-300;
3:31:23 ;BlackJack;76561198014770158;900;
3:31:35 ;BlackJack;76561198014770158;450;
3:31:45 ;BlackJack;76561198014770158;900;
3:32:2 ;BlackJack;76561198014770158;-300;
3:32:8 ;BlackJack;76561198014770158;450;
3:32:13 ;BlackJack;76561198014770158;900;
3:32:20 ;BlackJack;76561198014770158;450;
