time;game;playerid;win/lose;
0:37:47 ;BlackJack;76561198014770158;-1000;
0:37:49 ;BlackJack;76561198014770158;1000;
0:38:0 ;BlackJack;76561198014770158;-1000;
0:38:5 ;BlackJack;76561198014770158;3000;
0:38:9 ;BlackJack;76561198014770158;1500;
0:38:12 ;BlackJack;76561198014770158;-1000;
0:38:15 ;BlackJack;76561198014770158;1000;
0:38:21 ;BlackJack;76561198014770158;-1000;
0:38:26 ;BlackJack;76561198014770158;-1000;
0:38:30 ;BlackJack;76561198014770158;-1000;
0:38:33 ;BlackJack;76561198014770158;1000;
0:38:38 ;BlackJack;76561198014770158;-1000;
0:38:41 ;BlackJack;76561198014770158;-1000;
0:38:44 ;BlackJack;76561198014770158;-1000;
0:38:53 ;BlackJack;76561198014770158;-1000;
0:38:55 ;BlackJack;76561198014770158;-1000;
0:38:58 ;BlackJack;76561198014770158;-1000;
0:39:22 ;BlackJack;76561198014770158;-100;
0:39:26 ;BlackJack;76561198014770158;-100;
0:39:29 ;BlackJack;76561198014770158;150;
0:39:33 ;BlackJack;76561198014770158;150;
0:39:40 ;BlackJack;76561198014770158;-100;
0:39:52 ;BlackJack;76561198014770158;-100;
3:41:24 ;BlackJack;76561198014770158;750;
3:41:33 ;BlackJack;76561198014770158;750;
3:41:43 ;BlackJack;76561198014770158;-500;
3:41:46 ;BlackJack;76561198014770158;-500;
3:41:48 ;BlackJack;76561198014770158;750;
3:41:53 ;BlackJack;76561198014770158;750;
3:41:59 ;BlackJack;76561198014770158;-500;
3:42:1 ;BlackJack;76561198014770158;750;
3:42:5 ;BlackJack;76561198014770158;750;
3:42:11 ;BlackJack;76561198014770158;750;
3:42:16 ;BlackJack;76561198014770158;750;
3:42:29 ;BlackJack;76561198014770158;750;
3:42:34 ;BlackJack;76561198014770158;-500;
3:42:37 ;BlackJack;76561198014770158;750;
3:42:45 ;BlackJack;76561198014770158;500;
3:42:50 ;BlackJack;76561198014770158;500;
3:42:57 ;BlackJack;76561198014770158;750;
3:43:3 ;BlackJack;76561198014770158;500;
3:43:8 ;BlackJack;76561198014770158;750;
3:43:15 ;BlackJack;76561198014770158;-500;
3:43:18 ;BlackJack;76561198014770158;-500;
3:43:21 ;BlackJack;76561198014770158;750;
3:43:26 ;BlackJack;76561198014770158;-500;
3:43:29 ;BlackJack;76561198014770158;-500;
3:43:32 ;BlackJack;76561198014770158;-500;
3:43:34 ;BlackJack;76561198014770158;500;
3:43:38 ;BlackJack;76561198014770158;-500;
3:43:45 ;BlackJack;76561198014770158;750;
3:43:54 ;BlackJack;76561198014770158;-500;
3:44:2 ;BlackJack;76561198014770158;1500;
3:44:7 ;BlackJack;76561198014770158;-500;
3:44:9 ;BlackJack;76561198014770158;750;
3:44:14 ;BlackJack;76561198014770158;-500;
3:44:17 ;BlackJack;76561198014770158;500;
3:44:20 ;BlackJack;76561198014770158;750;
3:44:21 ;BlackJack;76561198014770158;1500;
3:44:28 ;BlackJack;76561198014770158;-500;
3:44:34 ;BlackJack;76561198014770158;-500;
3:44:37 ;BlackJack;76561198014770158;750;
3:44:40 ;BlackJack;76561198014770158;750;
3:44:47 ;BlackJack;76561198014770158;-500;
3:44:50 ;BlackJack;76561198014770158;-500;
3:44:53 ;BlackJack;76561198014770158;-500;
3:44:55 ;BlackJack;76561198014770158;-500;
3:45:2 ;BlackJack;76561198014770158;-500;
3:45:5 ;BlackJack;76561198014770158;750;
3:45:7 ;BlackJack;76561198014770158;-500;
3:45:8 ;BlackJack;76561198014770158;1500;
3:45:13 ;BlackJack;76561198014770158;-500;
3:45:17 ;BlackJack;76561198014770158;-500;
3:45:22 ;BlackJack;76561198014770158;500;
3:45:40 ;BlackJack;76561198014770158;-500;
3:45:41 ;BlackJack;76561198014770158;1500;
3:45:47 ;BlackJack;76561198014770158;-500;
3:45:56 ;BlackJack;76561198014770158;750;
3:46:1 ;BlackJack;76561198014770158;-500;
3:46:5 ;BlackJack;76561198014770158;-500;
3:46:14 ;BlackJack;76561198014770158;-500;
3:46:19 ;BlackJack;76561198014770158;-500;
3:46:22 ;BlackJack;76561198014770158;-500;
3:46:24 ;BlackJack;76561198014770158;750;
3:46:28 ;BlackJack;76561198014770158;-500;
3:46:33 ;BlackJack;76561198014770158;750;
3:46:36 ;BlackJack;76561198014770158;750;
3:46:40 ;BlackJack;76561198014770158;750;
3:46:44 ;BlackJack;76561198014770158;-500;
3:46:45 ;BlackJack;76561198014770158;1500;
3:46:49 ;BlackJack;76561198014770158;-500;
3:46:57 ;BlackJack;76561198014770158;500;
3:47:7 ;BlackJack;76561198014770158;-500;
3:47:19 ;BlackJack;76561198014770158;-1500;
3:47:22 ;BlackJack;76561198014770158;-1500;
3:47:32 ;BlackJack;76561198014770158;-1000;
